city,parcel_id,split
nyc,3086720066,train
nyc,3013740067,train
nyc,3007670070,train
nyc,3066640011,train
nyc,3057510064,train
nyc,3054210024,train
nyc,3055000024,train
nyc,3015520069,train
nyc,3068150008,train
nyc,3070090091,train
nyc,1016160021,train
nyc,3076190013,train
nyc,3043160025,train
nyc,3056230021,train
nyc,3047220025,train
nyc,3078020064,train
nyc,3070000024,train
nyc,3083600082,train
nyc,3049850045,train
nyc,3016810080,train
nyc,3087570097,train
nyc,3027340034,train
nyc,3007820064,train
nyc,3031640048,train
nyc,3020450023,train
nyc,3011580078,train
nyc,3052300039,train
nyc,1007720043,train
nyc,3068180054,train
nyc,3008550048,train
nyc,3066390078,train
nyc,3060150052,train
nyc,3034120060,train
nyc,3041480065,train
nyc,3033310032,train
nyc,3073580041,train
nyc,3013220012,train
nyc,3009550070,train
nyc,3056980030,train
nyc,3038500146,train
nyc,3087530041,train
nyc,3022667506,train
nyc,3003050064,train
nyc,3038220048,train
nyc,3055740018,train
nyc,3078700056,train
nyc,3026910053,train
nyc,3077230076,train
nyc,3061610055,train
nyc,3072420108,train
nyc,3016100030,train
nyc,3088300092,train
nyc,3085120017,train
nyc,3047580053,train
nyc,3081440054,train
nyc,3047190033,train
nyc,3037760013,train
nyc,1004820008,train
nyc,3070860088,train
nyc,3055680051,train
nyc,3059130045,train
nyc,3055260055,train
nyc,3007760065,train
nyc,3082700031,train
nyc,3007380070,train
nyc,3032140037,train
nyc,3085260064,train
nyc,3073120067,train
nyc,3010790038,train
nyc,3074660065,train
nyc,3078710075,train
nyc,3068400047,train
nyc,3047020019,train
nyc,3080760013,train
nyc,3007670067,train
nyc,3062060063,train
nyc,3071520078,train
nyc,3061950023,train
nyc,3062200129,train
nyc,3011010028,train
nyc,3060840028,train
nyc,3076990072,train
nyc,3033740041,train
nyc,3035570023,train
nyc,3035230101,train
nyc,3008410071,train
nyc,1015060162,train
nyc,3016370063,train
nyc,3082280067,train
nyc,3084470056,train
nyc,3035680128,train
nyc,3021600006,train
nyc,3026810047,train
nyc,3040240026,train
nyc,3068530069,train
nyc,3016600026,train
nyc,1020630129,train
nyc,3018860002,train
nyc,3080650027,train
nyc,3078300050,train
nyc,3003230052,train
nyc,3062040060,train
nyc,3073820139,train
nyc,3078210060,train
nyc,3072180023,train
nyc,3081800033,train
nyc,3002910036,train
nyc,3067520016,train
nyc,3074680030,train
nyc,3010737502,train
nyc,3073980011,train
nyc,3053440022,train
nyc,3068880024,train
nyc,3077030015,train
nyc,3049410009,train
nyc,1019040016,train
nyc,3015860047,train
nyc,3064430042,train
nyc,3012130013,train
nyc,3041520032,train
nyc,3076800011,train
nyc,1018410054,train
nyc,3073650025,train
nyc,3009180031,train
nyc,3041720056,train
nyc,3073340083,train
nyc,3084702047,train
nyc,3058970037,train
nyc,3018370049,train
nyc,3021030158,train
nyc,3055080026,train
nyc,3063640052,train
nyc,3082040066,train
nyc,3073020010,train
nyc,3021030058,train
nyc,3031710010,train
nyc,3008400022,train
nyc,3069580061,train
nyc,3023190029,train
nyc,3086490075,train
nyc,3010180078,train
nyc,3062350004,train
nyc,3018020096,train
nyc,3009580061,train
nyc,1017540006,train
nyc,3078510035,train
nyc,1020820056,train
nyc,3047550002,train
nyc,3073460055,train
nyc,3059430014,train
nyc,3070900022,train
nyc,3018300033,train
nyc,3053250007,train
nyc,3047570017,train
nyc,3074770072,train
nyc,3071520052,train
nyc,3018550076,train
nyc,3055950056,train
nyc,3085280020,train
nyc,3001780036,train
nyc,3007680032,train
nyc,3056760021,train
nyc,3066970017,train
nyc,3037590010,train
nyc,3072430012,train
nyc,1009040032,train
nyc,1009040033,train
nyc,3012000067,train
nyc,3061600014,train
nyc,3088020125,train
nyc,3013690042,train
nyc,3075600013,train
nyc,3034390028,train
nyc,3013650081,train
nyc,1020710055,train
nyc,3087580096,train
nyc,3034020022,train
nyc,3073200066,train
nyc,3056870017,train
nyc,3015710115,train
nyc,3002520061,train
nyc,1020760016,train
nyc,3012200032,train
nyc,3009000122,train
nyc,3016090064,train
nyc,3017130004,train
nyc,3079670066,train
nyc,3077160048,train
nyc,3085210037,train
nyc,3007590031,train
nyc,3033990033,train
nyc,3026540060,train
nyc,1006140034,train
nyc,3086240001,train
nyc,3080160015,train
nyc,3001790018,train
nyc,3059990037,train
nyc,3051410014,train
nyc,3033940036,train
nyc,3062410027,train
nyc,3070790052,train
nyc,1015050063,train
nyc,3042840033,train
nyc,3078860036,train
nyc,3053030070,train
nyc,3074100147,train
nyc,3032340012,train
nyc,3008100021,train
nyc,3076750025,train
nyc,3004030047,train
nyc,3015190030,train
nyc,3032350047,train
nyc,1020590022,train
nyc,3010880062,train
nyc,1019500107,train
nyc,3003630022,train
nyc,1014090144,train
nyc,3022040045,train
nyc,3054550016,train
nyc,3032010005,train
nyc,3054190018,train
nyc,3074377502,train
nyc,3016440062,train
nyc,3063740079,train
nyc,3052740035,train
nyc,3054490011,train
nyc,3068820070,train
nyc,3025050050,train
nyc,3003850021,train
nyc,3012980033,train
nyc,3056890033,train
nyc,3068900020,train
nyc,3084080112,train
nyc,3074410460,train
nyc,3034170053,train
nyc,3088830977,train
nyc,3074430060,train
nyc,3042380009,train
nyc,3067530017,train
nyc,3012410057,train
nyc,1016600110,train
nyc,3077590059,train
nyc,3017670029,train
nyc,3056280116,train
nyc,3074280026,train
nyc,3044550070,train
nyc,3026250010,train
nyc,3063230020,train
nyc,3016370026,train
nyc,3025130018,train
nyc,3063000013,train
nyc,3074220607,train
nyc,3085380068,train
nyc,3066150047,train
nyc,3009380061,train
nyc,3068820045,train
nyc,3060800022,train
nyc,3048700027,train
nyc,3073230068,train
nyc,3078150029,train
nyc,3086840072,train
nyc,3084580014,train
nyc,1015030050,train
nyc,3058560081,train
nyc,3070110063,train
nyc,3067540016,train
nyc,1017510032,train
nyc,3047780017,train
nyc,3053747501,train
nyc,3027490030,train
nyc,3085070058,train
nyc,1019140009,train
nyc,3041890142,train
nyc,3016200051,train
nyc,3079860040,train
nyc,3072230042,train
nyc,3065660028,train
nyc,3008160023,train
nyc,3060840052,train
nyc,3052080046,train
nyc,3061950062,train
nyc,3052470034,train
nyc,3068060033,train
nyc,3038370017,train
nyc,3074220465,train
nyc,3071180037,train
nyc,3052710060,train
nyc,3083270042,train
nyc,3047930035,train
nyc,1020460034,train
nyc,3059520019,train
nyc,3010240039,train
nyc,3038070008,train
nyc,3010610038,train
nyc,3071090033,train
nyc,3038860079,train
nyc,3006770042,train
nyc,1020400004,train
nyc,1020620106,train
nyc,3041740030,train
nyc,3065580063,train
nyc,3024330031,train
nyc,3085470074,train
nyc,3041650017,train
nyc,3039560039,train
nyc,1019420039,train
nyc,3082020052,train
nyc,3065510032,train
nyc,3032530016,train
nyc,3070190140,train
nyc,3040550009,train
nyc,1014920044,train
nyc,3014390023,train
nyc,3054170042,train
nyc,3057920041,train
nyc,3033880027,train
nyc,3059580053,train
nyc,3052880018,train
nyc,3042690052,train
nyc,3073810131,train
nyc,3062610012,train
nyc,3049040033,train
nyc,3003710007,train
nyc,3016210040,train
nyc,3003590007,train
nyc,1021090063,train
nyc,3045040006,train
nyc,3040260128,train
nyc,3069730029,train
nyc,3062400069,train
nyc,3062200011,train
nyc,3084030013,train
nyc,3062090039,train
nyc,3055400059,train
nyc,3056400014,train
nyc,3060460026,train
nyc,3034330020,train
nyc,3074430049,train
nyc,3061310108,train
nyc,3026550012,train
nyc,3066490055,train
nyc,3010610023,train
nyc,3012080059,train
nyc,3049610056,train
nyc,3074440018,train
nyc,3082240045,train
nyc,3057060076,train
nyc,3076940115,train
nyc,3056097509,train
nyc,3068470028,train
nyc,3019730009,train
nyc,3088850400,train
nyc,3061420082,train
nyc,3034230068,train
nyc,3078830032,train
nyc,3041730045,train
nyc,3057370065,train
nyc,3062660008,train
nyc,3069250083,train
nyc,3074050510,train
nyc,3049390029,train
nyc,3055220002,train
nyc,3065440033,train
nyc,3057890036,train
nyc,3058790014,train
nyc,3067600051,train
nyc,3058560074,train
nyc,3011870066,train
nyc,3059140010,train
nyc,3001820051,train
nyc,3003390018,train
nyc,3007820063,train
nyc,3013940068,train
nyc,3066200024,train
nyc,3075490063,train
nyc,3050130029,train
nyc,3087120012,train
nyc,3010060034,train
nyc,3068690019,train
nyc,3034250020,train
nyc,3012590025,train
nyc,3019617502,train
nyc,3011340051,train
nyc,3078770043,train
nyc,3082510011,train
nyc,3080570032,train
nyc,3061850015,train
nyc,3080830060,train
nyc,3055420014,train
nyc,3055760060,train
nyc,3063720168,train
nyc,3073350041,train
nyc,3062700051,train
nyc,3039970002,train
nyc,3079920058,train
nyc,3017620062,train
nyc,3069580013,train
nyc,3028750010,train
nyc,3008767505,train
nyc,3068810044,train
nyc,3043000060,train
nyc,3080460040,train
nyc,3065150024,train
nyc,3068090080,train
nyc,3048030072,train
nyc,3063670074,train
nyc,3008720017,train
nyc,3081640069,train
nyc,3084510057,train
nyc,3060550003,train
nyc,3026820054,train
nyc,3069730060,train
nyc,3024190019,train
nyc,3071000022,train
nyc,3059290023,train
nyc,3009690050,train
nyc,3016440032,train
nyc,3062050035,train
nyc,3007500060,train
nyc,1020590013,train
nyc,3040340003,train
nyc,1011960038,train
nyc,3055570061,train
nyc,3077190023,train
nyc,3064600081,train
nyc,3058820064,train
nyc,1017830043,train
nyc,3068120035,train
nyc,3086160005,train
